Perfume,Brand,Gender,Country,Citrus–Green,Amber–Resinous,Musky–Soapy,Marine–Ozonic,Spicy–Aromatic,Woody–Earthy,Floral–Powdery,Fruity–Tropical,Sweet–Gourmand,Smoky–Leathery
bergamote-boisee,au-pays-de-la-fleur-d-oranger,unisex,France,0.07,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.4,0.0
marble-sea,atelier-oblique,unisex,Germany,0.27,0.0,0.0,0.22,0.12,0.08,0.16,0.0,0.16,0.0
passion-fruit,pacifica,unisex,USA,0.0,0.0,0.08,0.0,0.0,0.08,0.28,0.08,0.47,0.0
rawan,al-rehab,unisex,Arabia saudi ,0.0,0.2,0.0,0.0,0.0,0.0,0.26,0.06,0.48,0.0
mod-blush,ariana-grande,women,USA,0.0,0.0,0.14,0.0,0.0,0.0,0.58,0.14,0.14,0.0
toque-de-amor,avon,women,USA,0.24,0.23,0.0,0.0,0.0,0.06,0.24,0.0,0.23,0.0
300-km-h-supersonic,avon,men,USA,0.2,0.0,0.2,0.0,0.4,0.2,0.0,0.0,0.0,0.0
musk-fresh,avon,men,USA,0.1,0.0,0.1,0.0,0.31,0.48,0.0,0.0,0.0,0.0
be-on-trend,avon,women,USA,0.1,0.59,0.0,0.0,0.1,0.0,0.0,0.0,0.21,0.0
christian-lacroix-noir,avon,men,USA,0.0,0.0,0.0,0.0,0.47,0.17,0.36,0.0,0.0,0.0
imari-elixir-2015,avon,women,USA,0.16,0.22,0.0,0.0,0.0,0.16,0.14,0.06,0.27,0.0
perceive-sunshine,avon,women,USA,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.2,0.0
rare-amethyst,avon,women,USA,0.0,0.0,0.0,0.0,0.0,0.14,0.58,0.14,0.14,0.0
secret-fantasy-midnight,avon,women,USA,0.16,0.16,0.0,0.0,0.0,0.22,0.08,0.27,0.12,0.0
surreal-paradise,avon,women,USA,0.0,0.0,0.1,0.0,0.0,0.6,0.1,0.1,0.1,0.0
today,avon,women,USA,0.06,0.0,0.06,0.0,0.0,0.28,0.6,0.0,0.0,0.0
azzaro-chrome-summer,azzaro,men,France,0.1,0.59,0.0,0.0,0.21,0.1,0.0,0.0,0.0,0.0
pink-tonic,azzaro,women,France,0.31,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.59,0.0
blv-eau-de-parfum-ii,bvlgari,women,Italy,0.0,0.29,0.0,0.0,0.12,0.12,0.47,0.0,0.0,0.0
rose-goldea-blossom-delight-eau-de-toilette,bvlgari,women,Italy,0.27,0.0,0.14,0.0,0.0,0.0,0.59,0.0,0.0,0.0
dangerously-in-love,by-kilian,unisex,France,0.0,0.0,0.08,0.0,0.0,0.08,0.28,0.08,0.0,0.47
forbidden-games,by-kilian,women,France,0.0,0.0,0.0,0.0,0.2,0.0,0.16,0.06,0.58,0.0
le-jardin-loulou,cacharel,women,France,0.0,0.06,0.0,0.0,0.22,0.0,0.5,0.0,0.22,0.0
ck-one,calvin-klein,unisex,USA,0.54,0.14,0.0,0.0,0.0,0.06,0.26,0.0,0.0,0.0
contradiction,calvin-klein,men,USA,0.1,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0
eternity-aromatic-essence-for-men,calvin-klein,men,USA,0.0,0.0,0.0,0.0,0.37,0.4,0.0,0.23,0.0,0.0
eternity-for-men-summer-2012,calvin-klein,men,USA,0.0,0.28,0.0,0.12,0.12,0.34,0.14,0.0,0.0,0.0
euphoria-essence,calvin-klein,women,USA,0.0,0.0,0.0,0.0,0.0,0.4,0.14,0.07,0.4,0.0
212-ice,carolina-herrera,women,USA,0.14,0.0,0.0,0.0,0.14,0.14,0.45,0.14,0.0,0.0
212-summer,carolina-herrera,women,USA,0.07,0.33,0.07,0.0,0.0,0.4,0.0,0.07,0.07,0.0
212-vip-rose-love-ny,carolina-herrera,women,USA,0.0,0.0,0.07,0.0,0.07,0.4,0.07,0.0,0.4,0.0
chloe-narcisse,chloe,women,France,0.0,0.0,0.0,0.0,0.06,0.0,0.59,0.06,0.29,0.0
brilliant-wish,chopard,women,Switzerland,0.0,0.26,0.0,0.0,0.06,0.26,0.16,0.26,0.0,0.0
clean-sweet-layer,clean,women,USA,0.14,0.0,0.0,0.0,0.27,0.0,0.59,0.0,0.0,0.0
gosha-rubchinskiy-gosa-rubcinskij,comme-des-garcons,unisex,France,0.0,0.1,0.1,0.0,0.21,0.59,0.0,0.0,0.0,0.0
cool-water-caribbean-summer-edition,davidoff,men,Switzerland,0.4,0.0,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0
run-wild-for-her,davidoff,women,Switzerland,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0
silver-shadow-private,davidoff,men,Switzerland,0.06,0.0,0.0,0.0,0.18,0.29,0.18,0.0,0.0,0.29
i-love-dior,dior,women,France,0.4,0.28,0.0,0.0,0.0,0.0,0.26,0.06,0.0,0.0
green-tea,elizabeth-arden,women,USA,0.46,0.42,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0
born-in-paradise,escada,women,Germany,0.39,0.0,0.0,0.08,0.0,0.0,0.0,0.44,0.08,0.0
very-estee,estee-lauder,women,France,0.0,0.0,0.1,0.0,0.0,0.1,0.8,0.0,0.0,0.0
beautiful-sheer,estee-lauder,women,France,0.23,0.0,0.0,0.0,0.0,0.33,0.37,0.0,0.07,0.0
modern-muse-le-rouge,estee-lauder,women,France,0.0,0.0,0.0,0.0,0.06,0.23,0.35,0.06,0.29,0.0
pleasures,estee-lauder,women,France,0.25,0.0,0.0,0.0,0.0,0.13,0.62,0.0,0.0,0.0
cologne,etat-libre-d-orange,unisex,France,0.47,0.0,0.07,0.0,0.07,0.0,0.07,0.0,0.0,0.33
cuir-celeste-par-mathieu-cesar,ex-nihilo,unisex,France,0.06,0.0,0.06,0.06,0.0,0.29,0.29,0.0,0.0,0.23
synthetic-jungle,frederic-malle,unisex,France,0.08,0.0,0.0,0.0,0.17,0.39,0.17,0.0,0.19,0.0
emporio-armani-diamonds-rose,giorgio-armani,women,Italy,0.08,0.0,0.0,0.0,0.0,0.39,0.36,0.08,0.08,0.0
si,giorgio-armani,women,Italy,0.0,0.0,0.0,0.0,0.12,0.46,0.1,0.06,0.26,0.0
si-passione-red-maestro,giorgio-armani,women,Italy,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.1,0.6,0.0
colonia-futura,acqua-di-parma,unisex,Italy,0.14,0.0,0.0,0.0,0.72,0.14,0.0,0.0,0.0,0.0
samourai-woman,alain-delon,women,France,0.08,0.39,0.0,0.0,0.17,0.0,0.28,0.0,0.08,0.0
oud-pour-elle,alyssa-ashley,women,USA,0.0,0.0,0.06,0.0,0.06,0.68,0.2,0.0,0.0,0.0
crimson-rocks,amouage,unisex,Oman,0.0,0.0,0.0,0.0,0.47,0.07,0.23,0.0,0.23,0.0
eclats-precieux,givenchy,women,France,0.17,0.0,0.0,0.0,0.0,0.39,0.36,0.0,0.08,0.0
dahlia-divin,givenchy,women,France,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.06,0.34,0.0
dahlia-divin-nude-eau-de-parfum,givenchy,women,France,0.0,0.0,0.14,0.0,0.0,0.0,0.72,0.14,0.0,0.0
ange-ou-demon,givenchy,women,France,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0,0.69,0.0
insense-ultramarine-for-her,givenchy,women,France,0.4,0.28,0.0,0.06,0.0,0.0,0.26,0.0,0.0,0.0
fanos,gritti,unisex,Italy,0.0,0.2,0.0,0.0,0.38,0.0,0.22,0.0,0.2,0.0
gucci-bloom-nettare-di-fiori,gucci,women,Italy,0.0,0.0,0.0,0.0,0.06,0.28,0.6,0.06,0.0,0.0
gucci-guilty-eau-pour-homme,gucci,men,Italy,0.21,0.0,0.1,0.0,0.0,0.48,0.21,0.0,0.0,0.0
la-petite-robe-noire-ma-premiere-robe-2016,guerlain,women,France,0.18,0.0,0.0,0.0,0.0,0.24,0.09,0.24,0.26,0.0
eau-de-basilic-pourpre,hermes,unisex,France,0.21,0.0,0.0,0.0,0.31,0.48,0.0,0.0,0.0,0.0
boss-the-scent-for-her,hugo-boss,women,Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0
boss-the-scent-for-her-eau-de-toilette,hugo-boss,women,Germany,0.29,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.53,0.0
kokorico-by-night,jean-paul-gaultier,men,France,0.08,0.0,0.0,0.0,0.08,0.47,0.0,0.0,0.36,0.0
stars-edition-2015,jimmy-choo,women,UK,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.25,0.25,0.0
tuberose,jo-malone-london,women,UK,0.0,0.0,0.14,0.0,0.0,0.27,0.59,0.0,0.0,0.0
waterlily-cologne,jo-malone-london,unisex,UK,0.2,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0
tropical-cherimoya-cologne,jo-malone-london,unisex,UK,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0
blackberry-bay-cologne,jo-malone-london,unisex,UK,0.0,0.0,0.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0
it-s-sunny-hunny,juicy-couture,women,USA,0.1,0.59,0.0,0.0,0.0,0.0,0.21,0.1,0.0,0.0
flower-tag-eau-de-parfum,kenzo,women,France,0.07,0.0,0.0,0.0,0.0,0.33,0.14,0.07,0.4,0.0
rappelle-toi,l-artisan-parfumeur,unisex,France,0.0,0.0,0.0,0.0,0.21,0.1,0.1,0.0,0.59,0.0
obscuratio-25,l-artisan-parfumeur,unisex,France,0.0,0.0,0.0,0.0,0.0,0.56,0.08,0.0,0.36,0.0
living-lalique,lalique,women,France,0.0,0.0,0.0,0.0,0.35,0.06,0.35,0.0,0.23,0.0
encre-indigo,lalique,men,France,0.1,0.0,0.0,0.0,0.21,0.69,0.0,0.0,0.0,0.0
idole,lancome,women,France,0.0,0.0,0.06,0.0,0.0,0.28,0.26,0.06,0.34,0.0
tresor-sparkling,lancome,women,France,0.0,0.0,0.1,0.0,0.0,0.0,0.7,0.1,0.1,0.0
ser-hubbee,lattafa-perfumes,women,UAE,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.07,0.72,0.0
redcolorado,m-micallef,unisex,France,0.18,0.0,0.0,0.0,0.15,0.24,0.09,0.0,0.18,0.18
mon-parfum-pearl,m-micallef,women,France,0.06,0.0,0.06,0.0,0.0,0.0,0.68,0.0,0.2,0.0
under-the-lemon-tree,maison-martin-margiela,unisex,France,0.36,0.0,0.0,0.0,0.17,0.08,0.39,0.0,0.0,0.0
so-blue,mancera,unisex,France,0.06,0.2,0.0,0.06,0.0,0.1,0.32,0.06,0.2,0.0
vanille-exclusive,mancera,unisex,France,0.0,0.23,0.0,0.0,0.0,0.0,0.35,0.06,0.35,0.0
daisy-daze,marc-jacobs,women,USA,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
daisy-love-sunshine,marc-jacobs,women,USA,0.14,0.0,0.0,0.0,0.27,0.14,0.45,0.0,0.0,0.0
pink-honey,marc-jacobs,women,USA,0.06,0.0,0.0,0.0,0.0,0.23,0.06,0.06,0.59,0.0
marc-jacobs-pear-splash-2016,marc-jacobs,unisex,USA,0.1,0.48,0.0,0.0,0.21,0.1,0.0,0.1,0.0,0.0
aoud-ever,montale,unisex,France,0.06,0.0,0.0,0.0,0.12,0.54,0.0,0.0,0.0,0.28
aqua-gold,montale,unisex,France,0.14,0.0,0.0,0.0,0.4,0.07,0.07,0.0,0.0,0.33
crystal-aoud,montale,unisex,France,0.29,0.0,0.0,0.0,0.06,0.35,0.0,0.06,0.23,0.0
explorer-platinum,montblanc,men,France,0.0,0.0,0.0,0.21,0.21,0.1,0.48,0.0,0.0,0.0
oh-de-moschino,moschino,women,Italy,0.14,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0
cheap-and-chic-hippy-fizz,moschino,women,Italy,0.4,0.0,0.07,0.0,0.07,0.0,0.4,0.07,0.0,0.0
alien-aqua-chic-2013,mugler,women,France,0.07,0.4,0.07,0.0,0.0,0.4,0.07,0.0,0.0,0.0
aura-mugler-eau-de-toilette,mugler,women,France,0.28,0.0,0.0,0.0,0.0,0.0,0.08,0.08,0.56,0.0
narciso-grace,narciso-rodriguez,women,USA,0.59,0.0,0.1,0.0,0.0,0.0,0.21,0.1,0.0,0.0
kaiak-vital,natura,men,Brazil,0.0,0.39,0.0,0.08,0.44,0.08,0.0,0.0,0.0,0.0
les-sorbets-de-luna,nina-ricci,women,France,0.4,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0
crazy-feelings,o-boticario,women,Brazil,0.0,0.0,0.0,0.0,0.08,0.56,0.36,0.0,0.0,0.0
botica-214-fiji-paradise,o-boticario,men,Brazil,0.0,0.34,0.0,0.0,0.18,0.34,0.14,0.0,0.0,0.0
egeo-choc,o-boticario,women,Brazil,0.0,0.39,0.0,0.0,0.08,0.0,0.0,0.0,0.53,0.0
floratta-my-blue,o-boticario,women,Brazil,0.0,0.2,0.06,0.06,0.0,0.26,0.22,0.0,0.0,0.2
floratta-sapphire,o-boticario,women,Brazil,0.0,0.0,0.0,0.0,0.1,0.1,0.8,0.0,0.0,0.0
queen-vanilla,o-boticario,women,Brazil,0.0,0.24,0.0,0.0,0.0,0.24,0.0,0.06,0.47,0.0
quasar-fire,o-boticario,men,Brazil,0.2,0.2,0.0,0.0,0.24,0.26,0.1,0.0,0.0,0.0
thaty,o-boticario,women,Brazil,0.0,0.0,0.08,0.0,0.65,0.08,0.19,0.0,0.0,0.0
uomini-black,o-boticario,men,Brazil,0.0,0.4,0.0,0.0,0.37,0.16,0.0,0.0,0.07,0.0
zaad-venture,o-boticario,men,Brazil,0.06,0.16,0.0,0.0,0.41,0.22,0.16,0.0,0.0,0.0
paco-rabanne-pour-elle,paco-rabanne,women,Spain,0.0,0.39,0.0,0.0,0.08,0.0,0.36,0.08,0.08,0.0
black-xs-los-angeles-for-him,paco-rabanne,men,Spain,0.08,0.0,0.0,0.0,0.28,0.47,0.0,0.08,0.08,0.0
elisabethan-rose-vintage,penhaligon-s,women,UK,0.0,0.33,0.0,0.0,0.21,0.0,0.47,0.0,0.0,0.0
prada-candy-night,prada,women,Italy,0.16,0.0,0.0,0.0,0.06,0.16,0.22,0.0,0.41,0.0
romance-rose,ralph-lauren,women,USA,0.06,0.0,0.0,0.0,0.0,0.34,0.54,0.06,0.0,0.0
eau-de-rubylips,salvador-dali,women,Spain,0.1,0.48,0.0,0.0,0.0,0.0,0.21,0.1,0.1,0.0
signorina-ribelle,salvatore-ferragamo,women,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.47,0.47,0.0
telea,tiziana-terenzi,unisex,Italy,0.0,0.0,0.07,0.0,0.0,0.4,0.4,0.07,0.07,0.0
fresh,trussardi,women,Italy,0.06,0.0,0.0,0.0,0.0,0.4,0.54,0.0,0.0,0.0
blue-jeans,versace,men,Italy,0.06,0.14,0.0,0.0,0.19,0.2,0.21,0.0,0.2,0.0
back-to-the-roots,vilhelm-parfumerie,unisex,USA,0.14,0.0,0.0,0.0,0.14,0.14,0.58,0.0,0.0,0.0
erba-pura,xerjoff,unisex,Italy,0.07,0.33,0.07,0.0,0.0,0.0,0.07,0.07,0.4,0.0
la-collection-y,yves-saint-laurent,women,France,0.08,0.0,0.0,0.0,0.0,0.73,0.19,0.0,0.0,0.0
nuit,zara,women,Spain,0.0,0.59,0.0,0.0,0.0,0.1,0.1,0.0,0.21,0.0
sunlight-bouquet,zara,women,Spain,0.0,0.0,0.0,0.2,0.06,0.26,0.1,0.06,0.32,0.0
jackfruit,zara,women,Spain,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.2,0.0
tuesday-totally-terrific,zara,unisex,Spain,0.08,0.0,0.0,0.0,0.08,0.0,0.36,0.0,0.47,0.0
accord-no-2-oriental,zara,women,Spain,0.0,0.26,0.0,0.0,0.0,0.06,0.2,0.0,0.48,0.0
n003-waterfall-brume,zara,women,Spain,0.2,0.0,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0
frayed-edge,zara,men,Spain,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0
zara-woman-gold-2021,zara,women,Spain,0.0,0.0,0.08,0.0,0.0,0.0,0.08,0.0,0.84,0.0
cow,zoologist-perfumes,unisex,Canada,0.08,0.39,0.08,0.0,0.08,0.0,0.28,0.0,0.08,0.0
rosa,tous,women,Spain,0.0,0.0,0.07,0.0,0.0,0.0,0.47,0.07,0.4,0.0
eau-d-ikar,sisley,men,France,0.47,0.23,0.0,0.0,0.06,0.06,0.18,0.0,0.0,0.0
zen-sun,shiseido,women,Japan,0.07,0.33,0.0,0.0,0.0,0.0,0.23,0.3,0.07,0.0
rose-ishtar,rania-j,women,France,0.0,0.0,0.0,0.0,0.0,0.29,0.41,0.0,0.29,0.0
endless-night-for-him,playboy,men,USA,0.0,0.0,0.0,0.0,0.24,0.35,0.12,0.0,0.0,0.29
love-potion-sensual-ruby,oriflame,women,Sweden,0.07,0.0,0.0,0.0,0.0,0.0,0.16,0.07,0.7,0.0
white-sail,nautica,men,USA,0.0,0.33,0.0,0.0,0.53,0.07,0.07,0.0,0.0,0.0
my-morgan,morgan,women,France,0.08,0.0,0.0,0.0,0.0,0.0,0.28,0.17,0.47,0.0
kors,michael-kors,women,USA,0.0,0.1,0.0,0.0,0.0,0.1,0.35,0.35,0.1,0.0
this-is-not-a-blue-bottle-1-3,histoires-de-parfums,unisex,France,0.06,0.0,0.0,0.0,0.06,0.34,0.2,0.0,0.0,0.34
truly-lace,coty,women,USA,0.14,0.14,0.0,0.0,0.0,0.06,0.26,0.2,0.2,0.0
l-eau-de-toilette,carven,women,France,0.34,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.48,0.0
love-toxin,calaj,unisex,Romania,0.0,0.0,0.06,0.0,0.0,0.0,0.38,0.19,0.19,0.19
viaje-a-ceylan,adolfo-dominguez,men,Spain,0.06,0.23,0.0,0.06,0.35,0.29,0.0,0.0,0.0,0.0
agua-fresca-de-rosas,adolfo-dominguez,women,Spain,0.08,0.39,0.0,0.0,0.0,0.17,0.36,0.0,0.0,0.0
sisterland-pink-raspberry,benetton,women,Italy,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0
rose-de-mai-majskaa-roza,brocard,women,Russia,0.06,0.0,0.0,0.0,0.32,0.14,0.48,0.0,0.0,0.0
lux,brocard,unisex,Russia,0.3,0.0,0.0,0.0,0.07,0.33,0.23,0.07,0.0,0.0
simply-clinique,clinique,women,USA,0.0,0.0,0.07,0.14,0.0,0.33,0.07,0.0,0.4,0.0
desirable,faberlic,women,Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.41,0.0
orangerie-neroli,faberlic,women,Russia,0.27,0.0,0.0,0.14,0.14,0.0,0.45,0.0,0.0,0.0
eau-de-lacoste-l-12-12-pour-elle-french-panache,lacoste-fragrances,women,France,0.23,0.0,0.07,0.0,0.07,0.4,0.16,0.07,0.0,0.0
eau-de-lacoste-l-12-12-rouge-energetic,lacoste-fragrances,men,France,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.2
bleu-marine-pour-elle,pierre-cardin,women,France,0.4,0.33,0.07,0.07,0.07,0.0,0.07,0.0,0.0,0.0
this-is-her-zadig-dream,zadig-voltaire,women,France,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.0,0.0,0.0
hechizo,victorio-lucchino,women,Spain,0.0,0.18,0.0,0.0,0.0,0.24,0.29,0.06,0.24,0.0
aegyptus,tesori-d-oriente,women,Italy,0.18,0.0,0.06,0.0,0.06,0.06,0.47,0.18,0.0,0.0
grey-labdanum,abel,unisex,Netherlands,0.34,0.06,0.0,0.0,0.06,0.26,0.28,0.0,0.0,0.0
nurture,abel,unisex,Netherlands,0.0,0.1,0.0,0.0,0.1,0.1,0.7,0.0,0.0,0.0
away-tonight-woman,abercrombie-fitch,women,USA,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0
adidas-sport-unlsh-for-her,adidas,women,USA,0.08,0.0,0.0,0.0,0.0,0.08,0.19,0.17,0.47,0.0
av,adrienne-vittadini,women,Italy,0.14,0.0,0.14,0.0,0.0,0.0,0.72,0.0,0.0,0.0
fig,aftelier,unisex,USA,0.0,0.0,0.1,0.0,0.1,0.6,0.1,0.0,0.1,0.0
forbidden-flower,areej-le-dore,unisex,Russia,0.06,0.0,0.0,0.0,0.35,0.29,0.06,0.0,0.23,0.0
30-years-special-edition,aura-of-kazakhstan,unisex,Kazakhstan,0.0,0.06,0.0,0.0,0.06,0.26,0.16,0.26,0.0,0.2
where-we-used-to-live,azman,unisex,UAE,0.0,0.0,0.0,0.0,0.0,0.4,0.28,0.06,0.26,0.0
garden-of-good-eva,benefit,women,USA,0.1,0.0,0.0,0.21,0.0,0.0,0.59,0.1,0.0,0.0
ring-my-bella,benefit,women,USA,0.07,0.0,0.07,0.0,0.0,0.33,0.53,0.0,0.0,0.0
pulse-summer-edition,beyonce,women,USA,0.2,0.0,0.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0
elite,boadicea-the-victorious,unisex,UK,0.2,0.14,0.0,0.0,0.14,0.14,0.19,0.19,0.0,0.0
the-exclusives-salubrious,boadicea-the-victorious,unisex,UK,0.0,0.16,0.0,0.0,0.18,0.4,0.26,0.0,0.0,0.0
serpent-boheme,boucheron,women,France,0.07,0.0,0.07,0.0,0.0,0.4,0.47,0.0,0.0,0.0
newport,caswell-massey,unisex,USA,0.35,0.23,0.0,0.0,0.24,0.06,0.12,0.0,0.0,0.0
silver-water-birch,cremo,men,USA,0.0,0.0,0.0,0.1,0.0,0.69,0.0,0.0,0.0,0.21
cuba-winner,cuba-paris,men,France,0.06,0.23,0.0,0.06,0.41,0.23,0.0,0.0,0.0,0.0
black-muscs,alexandre-j,unisex,France,0.06,0.28,0.06,0.0,0.0,0.14,0.46,0.0,0.0,0.0
natsumi,annayake,women,Japan,0.47,0.0,0.0,0.07,0.0,0.0,0.4,0.07,0.0,0.0
dkny-women-limited-edition-eau-de-toilette-2010,donna-karan,women,USA,0.0,0.0,0.0,0.0,0.35,0.29,0.06,0.29,0.0,0.0
she-wood-crystal-creek-wood,dsquared2,women,Italy,0.07,0.33,0.0,0.07,0.0,0.07,0.47,0.0,0.0,0.0
wood-for-him,dsquared2,men,Italy,0.14,0.0,0.0,0.14,0.27,0.14,0.32,0.0,0.0,0.0
annicke-3,eight-bob,women,France,0.0,0.0,0.0,0.0,0.0,0.14,0.58,0.14,0.14,0.0
sweet,ellis-brooklyn,unisex,USA,0.0,0.39,0.08,0.0,0.0,0.0,0.36,0.08,0.08,0.0
verde-072,emilio-pucci,women,Italy,0.56,0.0,0.0,0.0,0.17,0.08,0.19,0.0,0.0,0.0
regina,farmacia-ss-annunziata,women,Italy,0.0,0.16,0.0,0.0,0.06,0.0,0.64,0.0,0.14,0.0
seringa,floris,women,UK,0.22,0.06,0.06,0.0,0.0,0.16,0.29,0.0,0.22,0.0
guess-1981-indigo-for-men,guess,men,USA,0.0,0.23,0.0,0.0,0.29,0.06,0.12,0.24,0.06,0.0
harajuku-lovers-wicked-style-lil-angel,harajuku-lovers,women,USA,0.4,0.28,0.0,0.06,0.0,0.0,0.2,0.06,0.0,0.0
she-is-happy,hunca,women,Turkey,0.1,0.48,0.0,0.0,0.0,0.0,0.21,0.1,0.1,0.0
lettre-a-anna-delicate,id-parfums,women,France,0.0,0.34,0.0,0.0,0.06,0.4,0.2,0.0,0.0,0.0
fleurs-d-ombre-jasmin-lilas,jean-charles-brosseau,women,France,0.69,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.1,0.0
amore-mio-tropical-crush,jeanne-arthes,women,France,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.69,0.0
lover,jeanne-arthes,women,France,0.0,0.48,0.0,0.0,0.0,0.1,0.21,0.1,0.1,0.0
banafsaj,junaid-perfumes,women,Bahrain,0.0,0.2,0.06,0.0,0.0,0.26,0.48,0.0,0.0,0.0
paname,keiko-mecheri,unisex,USA,0.48,0.0,0.0,0.0,0.21,0.1,0.0,0.0,0.21,0.0
cupcake-me-napolitano-chic,l-acqua-di-fiori,women,Italy,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.56,0.25,0.0
cafe-tonka,les-senteurs-gourmandes,unisex,France,0.0,0.47,0.0,0.0,0.17,0.0,0.0,0.0,0.36,0.0
sweet-desire-by-realities,liz-claiborne,women,USA,0.0,0.16,0.0,0.0,0.0,0.22,0.2,0.06,0.37,0.0
eau-de-mure,maitre-parfumeur-et-gantier,women,France,0.0,0.59,0.0,0.0,0.21,0.1,0.0,0.1,0.0,0.0
masaki-shiro,masaki-matsushima,women,Japan,0.1,0.0,0.1,0.0,0.0,0.0,0.8,0.0,0.0,0.0
mercedes-benz-club-fresh,mercedes-benz,men,Germany,0.4,0.0,0.07,0.23,0.23,0.0,0.0,0.07,0.0,0.0
mercedes-benz-l-eau,mercedes-benz,women,Germany,0.0,0.33,0.07,0.0,0.0,0.07,0.47,0.07,0.0,0.0
stars,milton-lloyd,women,UK,0.06,0.29,0.0,0.0,0.0,0.29,0.35,0.0,0.0,0.0
gecko,arabesque-perfumes,unisex,UAE,0.06,0.23,0.0,0.0,0.12,0.0,0.0,0.0,0.29,0.29
eau-turquoise,nicolai-parfumeur-createur,women,France,0.08,0.0,0.0,0.0,0.0,0.47,0.19,0.17,0.08,0.0
week-end-a-deauville,nicolai-parfumeur-createur,women,France,0.14,0.0,0.0,0.0,0.27,0.14,0.45,0.0,0.0,0.0
malia,nobile-1942,women,Italy,0.0,0.0,0.0,0.0,0.18,0.23,0.18,0.29,0.0,0.12
chypre-mousse,oriza-l-legrand,unisex,France,0.34,0.0,0.0,0.0,0.06,0.18,0.14,0.0,0.0,0.28
gold-edition-oud,pascal-morabito,men,France,0.0,0.07,0.0,0.0,0.07,0.47,0.4,0.0,0.0,0.0
pink-rush,paris-hilton,women,USA,0.06,0.28,0.06,0.0,0.0,0.0,0.26,0.06,0.28,0.0
it-s-life,paris-elysees,women,India,0.08,0.0,0.0,0.0,0.0,0.39,0.08,0.17,0.28,0.0
rose-de-taif,perris-monte-carlo,unisex,France,0.08,0.0,0.0,0.0,0.17,0.0,0.75,0.0,0.0,0.0
jasmagonda-23-1,pierre-guillaume-paris,unisex,France,0.1,0.0,0.0,0.0,0.0,0.1,0.21,0.0,0.59,0.0
bois-bleu,robert-piguet,unisex,France,0.14,0.0,0.0,0.0,0.27,0.14,0.45,0.0,0.0,0.0
citrella,the-body-shop,women,UK,0.26,0.0,0.0,0.0,0.26,0.0,0.48,0.0,0.0,0.0
polynesian-island-tiare,the-body-shop,women,UK,0.07,0.0,0.0,0.0,0.0,0.0,0.14,0.4,0.4,0.0
flamant-rose,the-merchant-of-venice,women,Italy,0.1,0.0,0.1,0.0,0.1,0.49,0.1,0.0,0.1,0.0
twilight,the-woods-collection,unisex,France,0.0,0.22,0.0,0.0,0.0,0.31,0.2,0.22,0.06,0.0
mystique-forest,victorinox-swiss-army,women,Switzerland,0.4,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0
cloud-collection-no-2,zarkoperfume,unisex,Denmark,0.1,0.0,0.0,0.1,0.31,0.48,0.0,0.0,0.0,0.0
vesen,jafra,women,USA,0.06,0.34,0.0,0.0,0.06,0.34,0.2,0.0,0.0,0.0
lumiere-doree,miller-harris,women,UK,0.4,0.33,0.07,0.0,0.07,0.07,0.07,0.0,0.0,0.0
